,eventid,iyear,imonth,iday,extended,country_txt,region_txt,provstate,city,latitude,longitude,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,gname,guncertain1,individual,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,ishostkid
43,197002020001,1970,2,2,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,0.0,0,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Mays Department Store,Mays Department Store in Manhattan,United States,Unknown,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,197002030001,1970,2,3,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,1.0,0,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Alexander's Department Store,Alexander's Department Store in the Bronx,United States,Unknown,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,197002030002,1970,2,3,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,1.0,0,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Alexander's Department Store,Alexander's Department Store in Manhattan,United States,Unknown,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,197002040001,1970,2,4,0,United States,North America,Ohio,Akron,41.084195,-81.514059,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Private Citizens & Property,Vehicles/Transportation,Car,,United States,Strikers,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,197002060001,1970,2,6,0,United States,North America,Colorado,Denver,39.758968,-104.876305,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Transportation,Bus (excluding tourists),Transportation of Denver City Schools,Denver City School Buses,United States,Black Nationalists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,197002060002,1970,2,6,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Government (General),Politician or Political Party Movement/Meeting/Rally,White politician who represented a Black constituency,Fred Dore,United States,White extremists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,197002060003,1970,2,6,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,1,1,1.0,0.0,1,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Jewish Synagogue,,United States,White extremists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,197002060004,1970,2,6,0,United States,North America,Puerto Rico,Dorado,18.460791,-66.264884,1,1,1,0.0,1.0,1,0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,Selective Service,Selective Service office in Dorado Puerto Rico,United States,Armed Revolutionary Independence Movement (MIRA),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,197002060005,1970,2,6,0,United States,North America,Puerto Rico,Rio Piedras,18.386932,-66.061127,1,1,1,0.0,1.0,1,0,Facility/Infrastructure Attack,Utilities,Electricity,General Electric,,United States,Armed Revolutionary Independence Movement (MIRA),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,197002060006,1970,2,6,0,United States,North America,Puerto Rico,Carolina,18.441963,-66.026316,1,1,1,0.0,1.0,1,0,Facility/Infrastructure Attack,Business,Hotel/Resort,Hotel,San Juan Hotel,Puerto Rico,Armed Revolutionary Independence Movement (MIRA),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,197002060007,1970,2,6,0,United States,North America,Massachusetts,Boston,42.3505,-71.105399,1,1,1,1.0,0.0,1,0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,R.O.T.C.,"R.O.T.C. office, Boston University",United States,Student Radicals,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,197002070003,1970,2,7,0,United States,North America,Wisconsin,Whitewater,42.838355,-88.743224,1,1,1,1.0,0.0,1,0,Facility/Infrastructure Attack,Educational Institution,School/University/Educational Building,Wisconsin State College,"Old Mail Hall, Wisconsin State College",United States,Student Radicals,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,197002080001,1970,2,8,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,1.0,1,0,Bombing/Explosion,Business,Multinational Corporation,General Electric,Queens General Electric Service Center,United States,Armed Revolutionary Independence Movement (MIRA),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,197002080002,1970,2,8,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,1.0,1,0,Bombing/Explosion,Business,Multinational Corporation,General Electric,Brooklyn General Electric Service Center,United States,Armed Revolutionary Independence Movement (MIRA),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,197002090003,1970,2,9,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,1.0,0,0,Bombing/Explosion,Business,Multinational Corporation,General Electric,General Electric Headquarters,United States,Armed Revolutionary Independence Movement (MIRA),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,197002090004,1970,2,9,0,United States,North America,Ohio,Batavia,39.07859,-84.179414,1,1,1,1.0,0.0,1,0,Bombing/Explosion,Private Citizens & Property,Named Civilian,Nonunion employee of General Electric in Batavia Ohio,Leslie Jewel,United States,Strikers,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,197002100001,1970,2,10,0,West Germany (FRG),Western Europe,Bavaria,Munich,48.139126,11.580186,1,1,1,0.0,0.0,1,0,Armed Assault,Airports & Aircraft,Airport,,El Al Passenger Bus & Airport Lounge,Israel,Popular Front for the Liberation of Palestine (PFLP),0.0,0,1.0,,,,,,0.0
60,197002110001,1970,2,11,0,United States,North America,Michigan,Ypsilanti,42.263414,-83.665281,1,1,1,1.0,0.0,1,0,Facility/Infrastructure Attack,Educational Institution,School/University/Educational Building,Washtenaw Community College,,United States,Student Radicals,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,197002130001,1970,2,13,0,United States,North America,California,Berkeley,37.874043,-122.280022,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Berkeley Police Department,Police parking lot,United States,Unknown,0.0,0,0.0,,,7.0,,,0.0
62,197002130002,1970,2,13,0,West Germany (FRG),Western Europe,Bavaria,Munich,48.139126,11.580186,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Private Citizens & Property,House/Apartment/Residence,,Jewish Old People's Home,Germany,Popular Front for the Liberation of Palestine (PFLP),0.0,0,7.0,,,9.0,,,0.0
63,197002130003,1970,2,13,0,United States,North America,California,Berkeley,37.874043,-122.280022,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Police Station,Berkeley Police Station,United States,Black Nationalists,1.0,0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
64,197002150001,1970,2,15,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Business,Bank/Commerce,Chase Manhattan Bank,"Chase Manhattan Bank, East Village Branch",United States,Left-Wing Militants,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,197002150002,1970,2,15,0,United States,North America,Oregon,Eugene,44.04483,-123.072606,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,R.O.T.C.,"R.O.T.C. storage area, University of Oregon",United States,Student Radicals,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
66,197002160001,1970,2,16,0,United States,North America,California,San Francisco,37.755363,-122.443352,1,1,1,0.0,1.0,1,0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",San Francisco Police Department,police station,United States,Unknown,0.0,0,1.0,,,0.0,,,0.0
67,197002160002,1970,2,16,0,United States,North America,California,Berkeley,37.874043,-122.280022,1,1,1,-9.0,1.0,1,0,Bombing/Explosion,Business,Retail/Grocery/Bakery,,department store,United States,Unknown,0.0,0,0.0,,,0.0,,,0.0
68,197002160003,1970,2,16,0,United States,North America,California,Berkeley,37.874043,-122.280022,1,1,1,-9.0,1.0,1,0,Bombing/Explosion,Business,Retail/Grocery/Bakery,,department store,United States,Unknown,0.0,0,0.0,,,0.0,,,0.0
69,197002160004,1970,2,16,0,United States,North America,California,San Francisco,37.755363,-122.443352,1,1,1,0.0,1.0,0,0,Armed Assault,Police,Police Security Forces/Officers,San Francisco Police Department,San Francisco Police Officers,United States,Left-Wing Militants,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,197002170001,1970,2,17,0,United States,North America,California,Oakland,37.791927,-122.225906,1,1,1,1.0,0.0,0,0,Bombing/Explosion,Business,Construction,,Walter Boysen Paint Company,United States,Unknown,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,197002170002,1970,2,17,0,United States,North America,Maryland,Buckeystown,39.334825,-77.431653,1,1,1,1.0,0.0,1,0,Bombing/Explosion,Utilities,Electricity,Power Pole,Power supply of the Frederick Maryland area,United States,Unknown,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,197002170003,1970,2,17,0,United States,North America,Louisiana,Covington,30.493919,-90.132512,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Educational Institution,School/University/Educational Building,School planned to be integrated,Covington High School,United States,White extremists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,197002170004,1970,2,17,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,1,1,0.0,0.0,0,0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,Armory,"Armory, University of Washington",United States,Student Radicals,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,197002180002,1970,2,18,0,United States,North America,Ohio,Cleveland,41.479561,-81.675461,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Police,Police Security Forces/Officers,Cuyahoga Community College security guard,,United States,Black Nationalists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,197002180003,1970,2,18,0,United States,North America,California,Vallejo,38.10083,-122.254954,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Police,Police Security Forces/Officers,Mission Vallejo Police Officers,,United States,Black Nationalists,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,197002200001,1970,2,20,0,United States,North America,Connecticut,Hartford,41.763325,-72.674069,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Government (General),Judge/Attorney/Court,U.S. Courthouse,United States District Court of Connecticut,United States,Left-Wing Militants,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,197002200002,1970,2,20,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Educational Institution,School/University/Educational Building,Columbia University,Columbia University International Law Library,United States,Student Radicals,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,197002200003,1970,2,20,0,United States,North America,Washington,Seattle,47.610786,-122.331306,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Educational Institution,School/University/Educational Building,University of Washington,"Construction site of Architecture School, University of Washington",United States,Student Radicals,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,197002210001,1970,2,21,0,West Germany (FRG),Western Europe,Hesse,Frankfurt,50.11797,8.644191,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Airports & Aircraft,Aircraft (not at an airport),,Austrian Airliner en route to Tel Aviv,Austria,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",0.0,0,0.0,,,0.0,,,0.0
80,197002210002,1970,2,21,0,Switzerland,Western Europe,Zurich,Zurich,47.36865,8.539182,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Airports & Aircraft,Aircraft (not at an airport),,Swiss Air DC-9,Switzerland,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",0.0,0,47.0,,,0.0,,,0.0
81,197002210003,1970,2,21,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,0.0,0,0,Facility/Infrastructure Attack,Police,"Police Building (headquarters, station, school)",Police Station,Charles Street Police Station,United States,Left-Wing Militants,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,197002210004,1970,2,21,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,Military Recruiting Stations,Army Recruiting Booth and Navy Recruiting Booth,United States,Left-Wing Militants,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,197002210005,1970,2,21,0,United States,North America,New York,New York City,40.697132,-73.931351,1,1,1,0.0,0.0,1,0,Bombing/Explosion,Private Citizens & Property,Named Civilian,,Judge John Murtagh and family,United States,"Weather Underground, Weathermen",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,197002210006,1970,2,21,0,United States,North America,Colorado,Denver,39.758968,-104.876305,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Private Citizens & Property,Named Civilian,,James C. Perrill,United States,Black Nationalists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,197002220001,1970,2,22,0,United States,North America,New York,Ithaca,42.455233,-76.475847,1,1,1,0.0,0.0,1,0,Facility/Infrastructure Attack,Educational Institution,School/University/Educational Building,"Black Women's Collective, Cornell University",Dormitory housing Black Women's Collective,United States,White extremists,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,197002220002,1970,2,22,0,United States,North America,Wisconsin,Prairie du Sac,43.287052,-89.724361,1,1,1,0.0,0.0,0,0,Bombing/Explosion,Utilities,Electricity,Wisconsin Power and Light Company,"Wisconsin Power and Light Company substation, Prairie du Sac",United States,New Year's Gang,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,197002230001,1970,2,23,0,United States,North America,Nebraska,South Sioux City,42.47031,-96.413949,1,1,1,0.0,1.0,1,0,Bombing/Explosion,Utilities,Electricity,,Power Transmission Pole in the Dakota City/Sioux City area,United States,Strikers,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,197002230002,1970,2,23,0,United States,North America,Nebraska,South Sioux City,42.47031,-96.413949,1,1,1,0.0,1.0,1,0,Bombing/Explosion,Utilities,Electricity,,Power Transmission Pole in the Dakota City/Sioux City area,United States,Strikers,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
